name,UNID,sex,age,class,happy,hair_color,exclusive,greek,smoke,talking_min,texts_sent,live_campus,roomates,austin,commute,UT_sport,height,hw_hours_college,hw_hours_HS,sleep_Tues,sleep_Sat,talking_hrs,sleep_average,happiness_cat
Federico Troxel,ft5848,Male,19,Sophomore,80,black,10,no,no,60,500,no,3,5,walk,no,"5, 4",12,4,6.5,8,1,7.25,Somewhat happy
Lakiesha Gurrola,lg6633,Female,18,Freshman,87,brown,1,no,no,3,30,yes,1,8,walk,no,"5, 5",20,2,8,5,0.05,6.5,Happy
Marcella Kunkle,mk3682,Female,18,Freshman,95,blond,3,yes,no,40,300,no,1,8,walk,no,"5, 6",21,6,8,6,0.6666666666666666,7,Happy
Tommy Dodge,td6105,Male,19,Sophomore,70,black,10,no,no,15,100,no,3,9,bus,yes,"5, 0",30,6,7,9,0.25,8,Somewhat happy
Wilburn Barbeau,wb9910,Male,18,Freshman,90,blond,2,yes,no,30,150,no,3,8,walk,no,"5, 4",40,20,5,3,0.5,4,Happy
Lonnie Montalbo,lm9213,Male,18,Freshman,85,brown,5,no,no,60,200,yes,1,8,walk,no,"5, 2",3,1,5,9,1,7,Happy
Meagan Darity,md7882,Female,18,Freshman,90,blond,1,no,no,2,20,yes,1,10,walk,yes,"5, 0",8,1,8,9,0.03333333333333333,8.5,Happy
Katelynn Silas,ks8536,Female,18,Freshman,90,black,1,yes,only socially,1,100,no,1,9,walk,no,"6, 4",10,3,7,8,0.016666666666666666,7.5,Happy
Sheron Jiang,sj9227,Female,19,Sophomore,60,brown,7,no,only socially,30,75,no,3,7,bus,no,"4, 9",10,2,7,5,0.5,6,Somewhat happy
Assunta Allums,aa6397,Female,20,Junior,80,black,1,no,no,30,200,yes,1,9,walk,no,"5, 1",21,7,8,10,0.5,9,Somewhat happy
Rafael Sepe,rs4346,Male,18,Freshman,25,brown,1,no,no,10,20,yes,1,7,walk,no,"6, 1",20,6,6,8,0.16666666666666666,7,Unhappy
Agnes Stoecker,as7682,Female,19,Sophomore,90,brown,1,no,no,2,20,no,0,9,walk,yes,"5, 5",25,15,5,9,0.03333333333333333,7,Happy
Christel Matsumura,cm5375,Female,20,Junior,80,brown,1,no,no,100,100,no,3,6,bus,no,"5, 11",27,0.5,6,9,1.6666666666666667,7.5,Somewhat happy
Kyra Mccay,km1153,Female,18,Freshman,97,brown,10,no,no,15,150,no,3,10,walk,no,"5, 1",20,0.5,6,12,0.25,9,Happy
Loriann Gildersleeve,lg7030,Female,18,Freshman,89,brown,10,no,no,120,2000,yes,1,10,walk,no,"4, 6",48,5,10,6,2,8,Happy
Hyo Michelson,hm4660,Female,19,Sophomore,75,blond,1,yes,no,45,100,no,1,7,bus,no,"5, 6",16,8,8,8,0.75,8,Somewhat happy
Gayla Collman,gc9491,Female,18,Freshman,95,blond,8,no,no,180,500,yes,1,9,walk,no,"5, 1",30,20,6,8,3,7,Happy
Janetta Stickles,js2292,Female,18,Freshman,65,brown,1,no,no,80,500,yes,1,9,walk,no,"4, 10",9,5,9.5,11.5,1.3333333333333333,10.5,Somewhat happy
Jeraldine Schwan,js4431,Female,20,Junior,90,brown,3,yes,no,75,100,no,3,9,walk,no,"5, 9",40,40,7,10,1.25,8.5,Happy
